Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,delay_band,satisfaction,satisfied_binary
Male,Loyal Customer,43,Personal Travel,Eco,950,4.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3,3.0,4.0,3.0,49,32.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,57,Business travel,Eco,967,1.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1,2.0,1.0,3.0,5,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,57,Business travel,Business,335,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,43,Business travel,Business,2066,,,,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1,4.0,1.0,5.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,46,Business travel,Business,371,4.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,2,3.0,2.0,3.0,9,9.0,1-15 min,satisfied,1
Male,Loyal Customer,60,Personal Travel,Eco,684,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5,5.0,5.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,23,Business travel,Eco,1373,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,4,2.0,1.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,33,Business travel,Business,2248,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,4,3.0,4.0,3.0,317,324.0,60+ min,satisfied,1
Male,Loyal Customer,25,Business travel,Business,990,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4,2.0,2.0,5.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,22,Business travel,Eco,1355,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,2,3.0,2.0,3.0,18,19.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,35,Business travel,Business,3946,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5,3.0,5.0,1.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,37,Personal Travel,Eco Plus,2218,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3,4.0,3.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,65,Business travel,Eco,964,4.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,4,2.0,4.0,4.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,37,Business travel,Eco,101,2.0,,1.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,5,3.0,1.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,52,Business travel,Eco,761,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5,3.0,5.0,5.0,0,0.0,No delay,satisfied,1
Male,Disloyal Customer,18,Business travel,Eco,547,,,,4.0,2.0,,2.0,2.0,4.0,2.0,3,1.0,3.0,2.0,17,0.0,No delay,satisfied,1
Male,Disloyal Customer,20,Business travel,Eco,370,4.0,,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,2,5.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,40,Business travel,Business,2779,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5,3.0,5.0,4.0,1,0.0,No delay,satisfied,1
Female,Loyal Customer,33,Personal Travel,Eco,373,4.0,,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4,5.0,5.0,4.0,27,28.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,30,Business travel,Business,3293,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,1,3.0,3.0,4.0,3,0.0,No delay,satisfied,1
Female,Disloyal Customer,43,Business travel,Eco,226,4.0,,4.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1,5.0,3.0,4.0,3,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,52,Business travel,Eco,222,3.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,3,5.0,3.0,2.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,49,Business travel,Business,526,3.0,3.0,1.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,4,5.0,4.0,5.0,48,51.0,16-60 min,satisfied,1
Male,Loyal Customer,45,Personal Travel,Eco,226,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4,5.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,55,Business travel,Business,2872,2.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,2,1.0,2.0,4.0,6,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,42,Business travel,Business,1372,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,0,26.0,16-60 min,satisfied,1
Male,Loyal Customer,41,Personal Travel,Eco,746,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3,2.0,2.0,2.0,25,32.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,27,Business travel,Business,3186,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4,1.0,5.0,4.0,109,120.0,60+ min,satisfied,1
Female,Loyal Customer,40,Business travel,Business,3473,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,3,3.0,3.0,3.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,22,Business travel,Eco,1086,1.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,2.0,3.0,3,3.0,4.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,65,Business travel,Eco,297,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,3,4.0,4.0,4.0,40,26.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,38,Business travel,Eco,1334,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4,3.0,4.0,3.0,15,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,34,Business travel,Business,3951,1.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1,4.0,1.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,58,Personal Travel,Eco,238,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,5,5.0,4.0,1.0,0,13.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,49,Business travel,Eco,308,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3,4.0,3.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,59,Business travel,Business,1390,2.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4,4.0,4.0,5.0,15,8.0,1-15 min,satisfied,1
Male,Loyal Customer,32,Business travel,Business,3749,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3,4.0,3.0,2.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,46,Personal Travel,Eco,342,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3,4.0,3.0,2.0,6,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,58,Business travel,Business,3893,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4,5.0,4.0,3.0,23,16.0,16-60 min,satisfied,1
Male,Loyal Customer,60,Business travel,Business,220,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,32,Business travel,Eco Plus,651,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4,1.0,4.0,5.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,61,Personal Travel,Eco,332,1.0,5.0,1.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,2,4.0,2.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,48,Business travel,Business,1671,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4,4.0,4.0,5.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,28,Personal Travel,Eco,349,4.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,2.0,4,4.0,4.0,2.0,0,2.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,27,Personal Travel,Eco,2454,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5,3.0,5.0,3.0,7,0.0,No delay,satisfied,1
Male,Loyal Customer,27,Business travel,Business,577,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,2,4.0,1.0,4.0,35,17.0,16-60 min,satisfied,1
Female,Loyal Customer,53,Business travel,Eco,749,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2,4.0,2.0,2.0,52,35.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,39,Business travel,Business,2130,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2,4.0,2.0,2.0,14,27.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,49,Business travel,Business,1448,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,5,2.0,5.0,4.0,6,0.0,No delay,satisfied,1
Male,Loyal Customer,33,Personal Travel,Eco,1979,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1,1.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,51,Business travel,Business,1646,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3,4.0,3.0,4.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,44,Business travel,Business,2832,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,3,5.0,1.0,5.0,161,175.0,60+ min,satisfied,1
Female,Loyal Customer,58,Business travel,Business,1609,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,30,Business travel,Business,2139,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5,4.0,4.0,4.0,78,68.0,60+ min,satisfied,1
Female,Disloyal Customer,38,Business travel,Business,937,1.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,3.0,2.0,5,5.0,5.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,43,Business travel,Eco,643,5.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,2,5.0,3.0,4.0,2,0.0,No delay,satisfied,1
Male,Loyal Customer,56,Personal Travel,Eco,125,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,2,4.0,4.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,21,Business travel,Business,448,4.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,5,3.0,5.0,2.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,23,Business travel,Eco,725,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,4.0,4,1.0,4.0,1.0,11,18.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,53,Business travel,Business,758,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4,4.0,4.0,5.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,25,Business travel,Business,1436,5.0,,5.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,4,4.0,5.0,3.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,35,Business travel,Eco,2153,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,2,4.0,3.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,25,Business travel,Business,834,4.0,,4.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,4,4.0,5.0,3.0,0,5.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,26,Business travel,Eco,964,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,1,5.0,2.0,4.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,18,Personal Travel,Eco,921,,4.0,,4.0,3.0,,3.0,3.0,4.0,3.0,4,5.0,5.0,3.0,1,0.0,No delay,satisfied,1
Male,Loyal Customer,68,Personal Travel,Eco,174,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5,4.0,5.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,61,Personal Travel,Eco,612,4.0,,4.0,3.0,1.0,4.0,1.0,1.0,4.0,5.0,4,3.0,4.0,1.0,18,10.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,40,Business travel,Business,157,,4.0,,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3,3.0,3.0,5.0,95,122.0,60+ min,satisfied,1
Male,Loyal Customer,39,Business travel,Business,86,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3,4.0,5.0,3.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,65,Personal Travel,Eco,591,1.0,5.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,4,5.0,4.0,4.0,20,20.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,23,Personal Travel,Eco,1010,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,4,2.0,1.0,2.0,102,190.0,60+ min,neutral or dissatisfied,0
Female,Loyal Customer,62,Business travel,Business,3467,3.0,3.0,3.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,5,2.0,5.0,2.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,48,Business travel,Business,2706,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5,4.0,5.0,4.0,36,40.0,16-60 min,satisfied,1
Female,Loyal Customer,50,Personal Travel,Eco,978,4.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4,4.0,5.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,23,Business travel,Eco,859,2.0,2.0,2.0,1.0,5.0,2.0,5.0,5.0,5.0,4.0,4,3.0,5.0,5.0,17,21.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,57,Business travel,Business,3273,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4,3.0,4.0,5.0,64,51.0,16-60 min,satisfied,1
Female,Loyal Customer,39,Business travel,Business,2614,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,23,17.0,16-60 min,satisfied,1
Male,Loyal Customer,61,Business travel,Eco,451,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,2,2.0,4.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,30,Business travel,Business,3496,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5,4.0,4.0,2.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,39,Business travel,Eco,101,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4,3.0,2.0,4.0,2,13.0,1-15 min,satisfied,1
Female,Disloyal Customer,22,Business travel,Eco,308,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,4,3.0,4.0,4.0,11,10.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,16,Business travel,Business,1979,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4,5.0,4.0,4.0,7,2.0,1-15 min,satisfied,1
Female,Loyal Customer,36,Personal Travel,Eco,544,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,3,4.0,4.0,1.0,46,30.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,47,Business travel,Business,2143,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4,3.0,4.0,3.0,104,109.0,60+ min,satisfied,1
Male,Disloyal Customer,59,Business travel,Business,151,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,5,4.0,4.0,5.0,10,2.0,1-15 min,neutral or dissatisfied,0
Female,Disloyal Customer,21,Business travel,Business,280,5.0,,5.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,5,4.0,5.0,3.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,51,Personal Travel,Business,612,2.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3,1.0,2.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,56,Business travel,Business,2013,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4,5.0,4.0,3.0,0,0.0,No delay,satisfied,1
Female,Disloyal Customer,43,Business travel,Business,296,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,5.0,3,1.0,3.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,45,Business travel,Eco,522,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4,3.0,4.0,4.0,99,87.0,60+ min,satisfied,1
Male,Loyal Customer,44,Business travel,Eco,607,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2,2.0,1.0,4.0,66,60.0,16-60 min,satisfied,1
Female,Loyal Customer,55,Business travel,Business,2511,1.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1,4.0,1.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,21,Personal Travel,Eco,157,,4.0,,4.0,5.0,,5.0,5.0,5.0,2.0,4,5.0,4.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,21,Business travel,Eco,391,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3,5.0,2.0,5.0,176,177.0,60+ min,neutral or dissatisfied,0
Male,Loyal Customer,45,Personal Travel,Eco,1475,3.0,4.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,5.0,5,5.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,36,Business travel,Business,255,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1,1.0,1.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,47,Business travel,Business,1416,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,3.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,36,Business travel,Eco,399,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1,3.0,5.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,35,Personal Travel,Eco,399,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,5,5.0,5.0,3.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,36,Business travel,Business,2556,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5,4.0,4.0,4.0,6,9.0,1-15 min,satisfied,1
Male,Loyal Customer,10,Personal Travel,Eco Plus,937,5.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,5.0,1.0,1,5.0,5.0,3.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,17,Personal Travel,Eco,237,3.0,5.0,,2.0,2.0,,2.0,2.0,4.0,2.0,4,3.0,5.0,2.0,8,45.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,43,Business travel,Business,2333,1.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,3,5.0,3.0,4.0,119,125.0,60+ min,satisfied,1
Male,Disloyal Customer,36,Business travel,Business,2447,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4,4.0,4.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,63,Personal Travel,Eco,605,2.0,4.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,1,5.0,1.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,46,Business travel,Business,3422,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4,4.0,4.0,3.0,10,21.0,16-60 min,satisfied,1
Female,Loyal Customer,33,Business travel,Business,3432,2.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,4,3.0,4.0,2.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,53,Business travel,Eco,929,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2,4.0,2.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,22,Business travel,Eco,1096,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4,5.0,4.0,4.0,41,21.0,16-60 min,neutral or dissatisfied,0
Male,Loyal Customer,39,Business travel,Business,837,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,4.0,4,3.0,4.0,2.0,0,4.0,1-15 min,satisfied,1
Male,Loyal Customer,55,Business travel,Business,1310,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,4,5.0,3.0,5.0,135,136.0,60+ min,satisfied,1
Male,Loyal Customer,49,Business travel,Business,3072,4.0,4.0,5.0,4.0,3.0,5.0,1.0,5.0,5.0,5.0,5,1.0,5.0,2.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,34,Personal Travel,Eco,137,3.0,,3.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4,3.0,4.0,5.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,13,Personal Travel,Eco,1723,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,2,2.0,2.0,5.0,0,32.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,16,Personal Travel,Eco,236,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2,1.0,1.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,54,Personal Travel,Eco,370,2.0,,2.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,5,3.0,4.0,5.0,0,7.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,59,Business travel,Business,3986,2.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,2,4.0,2.0,1.0,0,14.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,55,Business travel,Business,3980,1.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5,4.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,61,Personal Travel,Eco,674,,4.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1,4.0,1.0,5.0,0,0.0,No delay,satisfied,1
Male,Loyal Customer,47,Business travel,Business,1575,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5,4.0,5.0,4.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,58,Business travel,Business,2797,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,3.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,45,Personal Travel,Eco,355,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3,1.0,3.0,2.0,0,1.0,1-15 min,satisfied,1
Male,Loyal Customer,29,Business travel,Eco,528,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,4,4.0,3.0,2.0,95,91.0,60+ min,neutral or dissatisfied,0
Female,Loyal Customer,56,Business travel,Business,1608,4.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4,3.0,4.0,2.0,9,10.0,1-15 min,neutral or dissatisfied,0
Female,Disloyal Customer,24,Business travel,Business,584,4.0,,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5,3.0,5.0,3.0,27,8.0,1-15 min,satisfied,1
Female,Loyal Customer,70,Personal Travel,Eco,590,2.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,4,1.0,5.0,4.0,3,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,61,Personal Travel,Eco,127,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,3,4.0,4.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,53,Business travel,Business,2041,3.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5,3.0,5.0,3.0,3,0.0,No delay,satisfied,1
Female,Loyal Customer,51,Business travel,Business,120,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,5,4.0,3.0,5.0,63,69.0,60+ min,satisfied,1
Male,Loyal Customer,19,Personal Travel,Eco,163,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,3,1.0,3.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,59,Personal Travel,Eco,297,1.0,3.0,1.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,5,1.0,5.0,3.0,15,2.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,47,Personal Travel,Eco,120,4.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,4.0,4,2.0,1.0,3.0,0,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,49,Business travel,Business,1744,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,12,0.0,No delay,satisfied,1
Female,Loyal Customer,63,Personal Travel,Eco,311,1.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,1.0,2,3.0,2.0,3.0,0,4.0,1-15 min,neutral or dissatisfied,0
Female,Disloyal Customer,24,Business travel,Eco,813,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,1.0,3.0,4,1.0,3.0,5.0,0,7.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,33,Business travel,Business,1862,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,4,3.0,4.0,3.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,28,Personal Travel,Business,1216,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0,1.0,4,3.0,4.0,5.0,3,0.0,No delay,neutral or dissatisfied,0
Female,Loyal Customer,45,Business travel,Business,967,5.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4,5.0,4.0,4.0,44,20.0,16-60 min,satisfied,1
Female,Loyal Customer,49,Business travel,Eco,1139,1.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1,2.0,1.0,4.0,9,0.0,No delay,neutral or dissatisfied,0
Female,Disloyal Customer,25,Business travel,Business,577,3.0,4.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,5.0,5,3.0,5.0,4.0,0,0.0,No delay,neutral or dissatisfied,0
